epoch,train_loss,val_loss
1,17.0325,3.4696
2,11.2549,2.8300
3,8.5084,1.6001
4,4.4402,0.5347
5,1.1838,0.1335
6,0.4061,0.0827
7,0.3126,0.0673
8,0.3004,0.0613
9,0.2893,0.0729
10,0.2737,0.0619
11,0.2588,0.0643
12,0.2386,0.0601
13,0.2419,0.0614
14,0.2316,0.0606
15,0.2197,0.0526
16,0.2090,0.0522
17,0.2022,0.0543
18,0.2040,0.0489
19,0.1933,0.0505
20,0.1965,0.0493
21,0.1931,0.0496
22,0.1930,0.0479
23,0.1931,0.0490
24,0.1878,0.0457
25,0.1842,0.0453
26,0.1797,0.0450
27,0.1824,0.0441
28,0.1761,0.0457
29,0.1824,0.0499
30,0.1822,0.0465
31,0.1760,0.0445
32,0.1758,0.0446
33,0.1745,0.0434
34,0.1717,0.0424
35,0.1675,0.0434
36,0.1700,0.0421
37,0.1670,0.0434
38,0.1645,0.0422
39,0.1692,0.0407
40,0.1661,0.0423
41,0.1646,0.0412
42,0.1683,0.0425
43,0.1617,0.0416
44,0.1654,0.0417
45,0.1620,0.0409
46,0.1590,0.0397
47,0.1596,0.0409
48,0.1602,0.0410
49,1.1235,0.5147
50,0.4625,0.0939
51,0.3588,0.0823
52,0.3136,0.0729
53,0.2934,0.0690
54,0.2799,0.0703
55,0.2645,0.0694
56,0.2537,0.0608
57,0.2519,0.0604
58,0.2361,0.0572
59,0.2257,0.0562
60,0.2229,0.0607
61,0.2192,0.0518
62,0.2130,0.0569
63,0.2059,0.0534
64,0.2066,0.0509
65,0.2024,0.0495
66,0.1975,0.0484
67,0.1964,0.0470
68,0.1921,0.0486
69,0.1922,0.0484
70,0.1874,0.0459
71,0.1862,0.0457
72,0.1812,0.0489
73,0.1846,0.0470
74,0.1878,0.0440
75,0.1830,0.0448
76,0.1804,0.0428
77,0.1743,0.0431
78,0.1737,0.0446
79,0.1747,0.0429
80,0.1730,0.0451
81,0.1728,0.0445
82,0.1703,0.0427
83,0.1709,0.0445
84,0.1695,0.0428
85,0.1704,0.0422
86,0.1682,0.0415
87,0.1644,0.0431
88,0.1660,0.0434
89,0.1620,0.0403
90,0.1636,0.0413
91,0.1624,0.0415
92,0.1598,0.0413
93,0.1600,0.0420
94,0.1585,0.0409
95,0.1583,0.0422
96,0.1627,0.0407
97,0.1588,0.0418
98,0.1583,0.0402
99,0.1556,0.0407
100,0.1535,0.0395
101,0.1527,0.0396
102,0.1531,0.0394
103,0.1532,0.0393
104,0.1545,0.0392
105,0.1520,0.0392
106,0.1506,0.0380
107,0.1490,0.0376
108,0.1540,0.0388
109,0.1497,0.0393
110,0.1497,0.0371
111,0.1418,0.0362
112,0.1410,0.0362
113,0.1393,0.0360
114,0.1386,0.0358
115,0.1394,0.0360
116,0.1393,0.0355
117,0.1392,0.0357
118,0.1380,0.0360
119,0.1393,0.0355
120,0.1377,0.0354
121,0.1379,0.0351
122,0.1371,0.0362
123,0.1366,0.0365
124,0.1367,0.0359
125,0.1376,0.0351
126,0.1388,0.0355
127,0.1376,0.0350
128,0.1359,0.0348
129,0.1352,0.0352
130,0.1366,0.0365
131,0.1387,0.0352
132,0.1383,0.0347
133,0.1367,0.0352
134,0.1354,0.0344
135,0.1358,0.0349
136,0.1359,0.0349
137,0.1373,0.0344
138,0.1359,0.0347
139,0.1343,0.0345
140,0.1348,0.0353
